soxl_max_slices,soxs_take_profit,soxs_cooldown_days,sharpe_ratio,total_return_pct,cagr_pct,max_drawdown_pct,max_dd_duration,calmar_ratio,total_trades,win_rate_pct,avg_trade_pnl,profit_factor
25,0.06,2,-0.3974,-41.1433,-12.4111,-55.8932,878,-0.2221,36,58.33,-805.4,0.3704
25,0.06,3,-0.3976,-41.2104,-12.4361,-55.9436,878,-0.2223,35,57.14,-776.44,0.3793
25,0.08,2,-0.4648,-45.3028,-14.0014,-57.7528,878,-0.2424,28,42.86,-1069.8,0.3343
25,0.08,3,-0.4377,-43.7896,-13.4127,-56.5842,878,-0.237,28,46.43,-1018.32,0.3501
25,0.1,2,-0.4907,-46.8253,-14.6062,-58.929,878,-0.2479,28,42.86,-1153.54,0.3068
25,0.1,3,-0.4636,-45.3379,-14.0152,-57.7799,878,-0.2426,28,46.43,-1103.19,0.3212
35,0.06,2,-0.4242,-39.8288,-11.9261,-51.914,878,-0.2297,36,55.56,-709.13,0.3425
35,0.06,3,-0.3949,-38.1693,-11.325,-50.588,878,-0.2239,35,57.14,-685.1,0.3607
35,0.08,2,-0.4678,-42.5087,-12.9236,-52.6485,878,-0.2455,28,42.86,-961.04,0.3119
35,0.08,3,-0.4385,-40.9064,-12.3231,-51.3286,878,-0.2401,28,46.43,-907.87,0.3282
35,0.1,2,-0.4965,-44.144,-13.5495,-53.9955,878,-0.2509,28,42.86,-1050.48,0.2807
35,0.1,3,-0.4666,-42.5616,-12.9436,-52.6918,878,-0.2456,28,46.43,-998.13,0.2955
45,0.06,2,-0.4521,-38.5167,-11.4499,-48.3547,878,-0.2368,36,52.78,-695.92,0.35
45,0.06,3,-0.4204,-36.8264,-10.8474,-46.9349,878,-0.2311,35,54.29,-670.9,0.369
45,0.08,2,-0.4984,-41.2516,-12.4514,-49.1512,878,-0.2533,28,39.29,-943.79,0.3193
45,0.08,3,-0.4665,-39.6051,-11.8444,-47.7262,878,-0.2482,28,42.86,-889.47,0.3365
45,0.1,2,-0.5458,-43.7882,-13.4122,-51.3466,878,-0.2612,28,35.71,-1078.71,0.2393
45,0.1,3,-0.5089,-41.9635,-12.7179,-49.7673,878,-0.2555,28,39.29,-1022.03,0.254
